X,Y,X,Y,id,gridarea,buildingfootprintarea,percentbuilt,join_Point_X,join_Point_Y,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley
22166.2632475544,30490.5864756297,103.78090,1.29202,"4805",399.99966,298.76047,74.69018,103.78090,1.29225,0.00000,47.10750,Zone 2,,Temparea,Valley
22166.2628368839,30470.682996001,103.78090,1.29184,"4806",399.99966,46.51583,11.62897,103.78125,1.29157,5.14855,46.42584,Zone 2,,Temparea,Valley
22166.2624262706,30450.7795164005,103.78090,1.29166,"4807",399.99966,129.46982,32.36748,103.78125,1.29157,5.18870,44.91337,Zone 2,,Temparea,Valley
22166.2619929075,30429.7702879641,103.78090,1.29147,"4808",399.99966,132.65461,33.16368,103.78114,1.29143,2.58506,43.08196,Zone 2,,Temparea,Valley
22166.2615824118,30409.8668084218,103.78090,1.29129,"4809",399.99966,80.91876,20.22971,103.78080,1.29142,0.00000,41.04405,Zone 2,,Temparea,Valley
22186.2961133657,30510.4895425784,103.78108,1.29220,"4877",399.99967,125.08044,31.27014,103.78090,1.29225,1.63956,52.47554,Zone 2,,Temparea,Valley
22186.295704048,30490.5860629788,103.78108,1.29202,"4878",399.99967,174.76699,43.69178,103.78090,1.29225,0.94031,51.47155,Zone 2,,Temparea,Valley
22186.2952947873,30470.6825834074,103.78108,1.29184,"4879",399.99967,18.39523,4.59881,103.78138,1.29169,8.04638,51.41418,Zone 2,,Temparea,Valley
22186.2948855836,30450.7791038644,103.78108,1.29166,"4880",399.99967,106.49184,26.62298,103.78125,1.29157,3.39963,49.84642,Zone 2,,Temparea,Valley
22186.2944537082,30429.7698754886,103.78108,1.29147,"4881",399.99967,130.22032,32.55511,103.78125,1.29157,5.31922,46.79726,Zone 2,,Temparea,Valley
22205.2144304371,30450.7787155497,103.78125,1.29166,"4953",399.99967,101.13122,25.28283,103.78138,1.29169,2.02450,53.28640,Zone 2,,Temparea,Valley
22205.2139999668,30429.7694872309,103.78125,1.29147,"4954",399.99967,112.65273,28.16321,103.78125,1.29157,1.83815,48.42537,Zone 2,,Temparea,Valley
22225.2468896381,30450.7783057721,103.78143,1.29166,"5026",399.99967,109.40583,27.35148,103.78138,1.29169,0.00000,54.66163,Zone 2,,Temparea,Valley
22225.2464606554,30429.7690775136,103.78143,1.29147,"5027",399.99967,118.92003,29.73003,103.78125,1.29157,1.99651,49.04120,Zone 2,,Temparea,Valley
22245.2793487817,30450.7778974131,103.78161,1.29166,"5099",399.99967,97.76050,24.44015,103.78138,1.29169,0.00000,54.88675,Zone 2,,Temparea,Valley
22245.2789212868,30429.7686692147,103.78161,1.29147,"5100",399.99967,118.12770,29.53195,103.78125,1.29157,1.16311,49.48359,Zone 2,,Temparea,Valley
21985.9698430694,30429.7740640726,103.77928,1.29147,"4151",399.99964,115.09170,28.77295,103.77971,1.29124,0.59977,22.37559,Zone 2,,Temparea,Valley
21985.9694198908,30409.8705840043,103.77928,1.29129,"4152",399.99964,123.09368,30.77345,103.77971,1.29124,0.00000,21.10463,Zone 2,,Temparea,Valley
22006.0023043985,30429.7736388312,103.77946,1.29147,"4224",399.99964,73.96248,18.49064,103.77971,1.29124,5.10189,22.75116,Zone 2,,Temparea,Valley
22026.0356299258,30470.6859238832,103.77964,1.29184,"4295",399.99965,166.84021,41.71009,103.77973,1.29178,0.27579,28.18912,Zone 2,,Temparea,Valley
22026.0352094452,30450.7824438751,103.77964,1.29166,"4296",399.99965,345.78667,86.44674,103.77973,1.29178,0.00000,26.48543,Zone 2,,Temparea,Valley
22026.0347656682,30429.7732150083,103.77964,1.29147,"4297",399.99965,79.15965,19.78993,103.77971,1.29124,1.30936,22.81866,Zone 2,,Temparea,Valley
22026.034345308,30409.8697350583,103.77964,1.29129,"4298",399.99965,185.96009,46.49006,103.77971,1.29124,0.00000,22.10414,Zone 2,,Temparea,Valley
22046.0685073696,30490.5889813354,103.77982,1.29202,"4367",399.99965,112.31787,28.07949,103.77973,1.29178,1.03040,28.60782,Zone 2,,Temparea,Valley
22046.0680882402,30470.6855013578,103.77982,1.29184,"4368",399.99965,313.15053,78.28770,103.77973,1.29178,0.00000,28.14797,Zone 2,,Temparea,Valley
22046.0676691693,30450.7820214085,103.77982,1.29166,"4369",399.99965,36.00050,9.00013,103.77973,1.29178,5.99143,27.69327,Zone 2,,Temparea,Valley
22046.066807929,30409.8693127127,103.77982,1.29129,"4371",399.99965,192.07617,48.01908,103.77971,1.29124,0.00000,23.06374,Zone 2,,Temparea,Valley
22046.0663890364,30389.9658328498,103.77982,1.29111,"4372",399.99965,70.70004,17.67503,103.77971,1.29124,6.74012,22.69356,Zone 2,,Temparea,Valley
22046.0659702023,30370.0623530152,103.77982,1.29093,"4373",399.99965,155.00050,38.75016,103.77971,1.29124,0.79371,22.68833,Zone 2,,Temparea,Valley
22066.1009642137,30490.5885601702,103.78000,1.29202,"4440",399.99965,11.26731,2.81683,103.78081,1.29108,8.39463,29.28291,Zone 2,,Temparea,Valley
22066.1005464941,30470.6850802512,103.78000,1.29184,"4441",399.99965,92.64737,23.16186,103.77973,1.29178,5.89135,27.71198,Zone 2,,Temparea,Valley
22066.1001288328,30450.7816003605,103.78000,1.29166,"4442",399.99965,56.01098,14.00276,103.78081,1.29108,5.64432,27.56658,Zone 2,,Temparea,Valley
22066.0996880312,30429.7723716177,103.78000,1.29147,"4443",399.99965,16.81379,4.20345,103.78081,1.29108,8.19261,26.21260,Zone 2,,Temparea,Valley
22066.0992704894,30409.8688917852,103.78000,1.29129,"4444",399.99965,170.55916,42.63983,103.77971,1.29124,0.56382,25.09446,Zone 2,,Temparea,Valley
22066.0988530059,30389.965411981,103.78000,1.29111,"4445",399.99965,221.56835,55.39214,103.77971,1.29124,0.12191,24.78800,Zone 2,,Temparea,Valley
22066.0984355805,30370.0619322051,103.78000,1.29093,"4446",399.99965,25.44818,6.36205,103.77971,1.29124,8.38121,23.52796,Zone 2,,Temparea,Valley
22066.0980182134,30350.1584524575,103.78000,1.29075,"4447",399.99965,68.99796,17.24951,103.78037,1.29049,7.36186,22.27914,Zone 2,,Temparea,Valley
22066.0976009044,30330.2549727381,103.78000,1.29057,"4448",399.99965,136.27116,34.06782,103.78037,1.29049,0.00000,21.70518,Zone 2,,Temparea,Valley
22086.1334209988,30490.588140424,103.78018,1.29202,"4513",399.99965,134.89306,33.72329,103.78081,1.29108,0.00000,31.92689,Zone 2,,Temparea,Valley
