X,Y,buildingfootprintarea,percentbuilt,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley,distToTree,distToWalkway,distToRoad,distToPath,distToCourtTrack,distToCarpark,id,gridarea,roadarea,percentroad,patharea,percentpath,walkwayarea,percentwalkway,courttrackarea,percentcourttrack,carparkarea,percentcarpark,numtrees
21446.2216097532,31089.9182163502,92.84648,23.21164,5.97563,74.7578,Zone 2,,,,16.9975135103784,23.8507388716148,3.43431073134501,95.9719569481401,297.160867715981,190.612473477854,"2147",399.99957,46.5453932679837,11.6363608260838,,,,,,,,,"0"
21446.2211464729,31070.0147336712,,,18.01263,70.27908,Zone 2,,,,19.6438900499799,3.94735884464591,0,95.8629547803452,305.356291324757,201.912131125624,"2148",399.99957,135.019097678404,33.7548107060225,,,18.5133797064948,4.62834990209986,,,,,"0"
21446.2206832568,31050.1112510206,,,36.71857,65.6356,Zone 2,Vegetated Ridge,,,21.2630459070104,14.8607853247396,16.7056379587192,99.8052750835345,314.599181822629,203.249613199178,"2149",399.99957,,,,,,,,,,,"0"
21446.220220105,31030.2077683985,,,49.74209,59.08318,Zone 2,Vegetated Ridge,,,34.9030109376287,30.7648650605876,33.0198302676506,100.50089679572,324.800127699803,206.505687821659,"2150",399.99957,,,,,,,,,,,"0"
21446.2197570174,31010.3042858048,,,59.54593,54.00155,Zone 2,Vegetated Ridge,,,50.9436792001084,45.9525595635421,46.0075839378724,87.7719824014969,335.87184743488,190.385258864913,"2151",399.99957,,,,,,,,,,,"0"
21446.2192939941,30990.4008032394,,,66.30818,49.17573,Zone 2,Vegetated Ridge,,,46.6729000603673,36.1803868040385,37.696370594484,77.6854051727603,346.124577152936,173.697998932428,"2152",399.99957,,,,,,,,,,,"0"
21446.2188310351,30970.4973207025,,,73.43658,44.84621,Zone 2,Vegetated Ridge,,,34.5598944124553,21.4770772407308,23.0509736421608,71.8221463457243,356.703381717069,157.758486712531,"2153",399.99957,,,,,,,,,,,"0"
21446.2183681404,30950.593838194,,,61.36298,41.66409,Zone 2,Vegetated Ridge,,,20.8795728154605,7.18980594688163,8.7300639291734,71.2328328640595,368.05526668089,142.817305253011,"2154",399.99957,34.4917354627043,8.62294313533994,,,20.6221084672462,5.15553265900917,,,,,"0"
21446.2179053099,30930.6903557139,,,48.17414,39.39011,Zone 4,,,,10.6691118365651,2.69185861082582,0,74.856747994854,380.110974999941,124.512106073014,"2155",399.99957,150.767724749014,37.6919717061232,,,69.1508191323044,17.2877233673787,,,,,"1"
21446.2174425437,30910.7868732621,,,39.72488,37.84065,Zone 4,Vegetated Ridge,,,6.38746607016223,3.64650600995503,5.07486933292345,73.2984328613375,392.60832200542,106.397425347677,"2156",399.99957,72.3706773626778,18.0926887903099,,,31.8664556518691,7.96662247708644,,,,,"2"
21446.216954138,30889.7776418161,,,40.43988,36.81175,Zone 4,Vegetated Ridge,,,10.2054148052276,12.9553425441786,14.412289183664,59.4624359184039,374.086182133489,88.1070272185857,"2157",399.99957,,,,,0.0691943664104888,0.0172986101986282,,,,,"2"
21446.2164915038,30869.8741594227,,,49.92697,35.19119,Zone 4,Vegetated Ridge,,,6.60174801698649,21.7995624334124,23.2616614885953,49.8999467195708,356.793169876783,71.3004437350608,"2158",399.99957,,,,,,,,,,,"1"
21446.216028934,30849.9706770577,,,51.7133,32.73272,Zone 4,Vegetated Ridge,,,5.86436893011338,30.6495662089843,32.1110765868917,43.1063628448195,339.786047007623,56.1362976728901,"2159",399.99957,,,,,,,,,,,"4"
21446.2155664284,30830.0671947211,,,38.78802,28.70726,Zone 4,Vegetated Ridge,,,4.1242791217939,39.4959464577131,40.9676548372197,34.1425403018319,323.109960649279,43.7248924996513,"2160",399.99957,,,,,,,,,,,"2"
21446.2151039871,30810.1637124128,,,25.87622,27.85657,Zone 4,,,,13.6837138521794,40.2037729741386,47.9743791902033,19.2252922087896,306.818892600258,37.0960669896835,"2161",399.99957,,,,,,,,,,,"0"
21446.2146416101,30790.2602301329,,,14.3335,31.76699,Zone 4,,,,10.6088099456526,45.9197904292925,54.0045223769411,1.21649560695929,290.977518538371,38.5817444286754,"2162",399.99957,,,55.5593432601578,13.889850746629,,,,,,,"1"
21446.2141792973,30770.3567478815,64.35423,16.08857,3.13379,34.73205,Zone 4,,,,17.4975509139294,57.8466744588661,48.5859350561151,3.78436484150434,275.663376207811,41.438140882839,"2163",399.99957,,,17.1044215809228,4.27610999204895,,,,,,,"0"
21446.2137170488,30750.4532656583,319.69078,79.92278,0,37.3602,Zone 4,,,Valley,26.064955982185,65.982765016287,48.0285546017715,17.8522852308595,258.727326102226,47.9285880253016,"2164",399.99957,,,,,,,,,,,"0"
21446.2132548645,30730.5497834635,399.99957,100,0,39.10733,Zone 4,,,Valley,17.8376103202122,66.0906842272194,53.7754165498719,16.4437328548963,240.217341106335,55.1832242904301,"2165",399.99957,,,,,,,,,,,"0"
21446.2127927446,30710.646301297,286.28764,71.57199,0,39.60417,Zone 4,,,Valley,9.58218225582516,71.9341992249338,62.8596150749209,7.98465195652177,221.754987773833,67.2302467490274,"2166",399.99957,,,8.35669839713638,2.0891768451492,,,,,,,"3"
21446.2123306889,30690.7428191589,343.54599,85.88659,0,38.22919,Zone 4,,,Valley,12.4268183960424,74.4272144865366,55.2123104120605,8.23501003112935,203.292634491654,76.0099516527984,"2167",399.99957,,,6.25152950536589,1.56288405644183,,,,,,,"1"
21446.2118430331,30669.7335880439,328.06297,82.01583,0,35.74985,Zone 4,,,Valley,30.4397957144176,65.3976351521151,38.4526266562125,28.0933104070476,183.952664999965,60.3090101190634,"2168",399.99957,,,,,,,,,,,"0"
21446.2113811095,30649.8301059641,186.9411,46.73533,4.38268,32.29475,Zone 4,,,Valley,31.1853443454294,56.8552150509314,27.8427266381076,33.0818568431385,166.004643366759,43.3618202955879,"2169",399.99957,,,,,,,,,,,"0"
21446.2109192502,30629.9266239125,141.96182,35.49049,1.90599,28.17131,Zone 4,,,Valley,20.0147562957754,48.3395049763246,21.2635580544122,31.1603190881374,148.55570501739,30.2591376736942,"2170",399.99957,,,,,,,,,,,"0"
21446.2104574551,30610.0231418894,324.98938,81.24743,0,24.10403,Zone 4,,,Valley,24.9189172080738,42.1500962643327,28.9677615670661,40.1395136245276,131.804213054594,27.2631721999084,"2171",399.99957,,,,,,,,,,,"0"
